Movie,URL,Year,Director,Cast,Genre
Cherry Falls,https://en.wikipedia.org/wiki/Cherry_Falls,2000,Geoffrey Wright,"Brittany Murphy, Michael Biehn, Jesse Bradford",Thriller
Chinese Coffee,https://en.wikipedia.org/wiki/Chinese_Coffee,2000,Al Pacino,"Al Pacino, Jerry Orbach",Drama
Chocolat,https://en.wikipedia.org/wiki/Chocolat_(2000_film),2000,Lasse Hallström,"Juliette Binoche, Judi Dench, Alfred Molina, Lena Olin, Johnny Depp",Romance
Chuck & Buck,https://en.wikipedia.org/wiki/Chuck_%26_Buck,2000,Miguel Arteta,"Chris Weitz, Mike White, Maya Rudolph",Comedy
The Contender,https://en.wikipedia.org/wiki/The_Contender_(2000_film),2000,Rod Lurie,"Joan Allen, Jeff Bridges, Gary Oldman, Christian Slater, Sam Elliott, Kathryn Morris, Mike Binder",Drama
Coyote Ugly,https://en.wikipedia.org/wiki/Coyote_Ugly_(film),2000,David McNally,"Piper Perabo, Adam Garcia, Tyra Banks, John Goodman",Comedy
The Crew,https://en.wikipedia.org/wiki/The_Crew_(2000_film),2000,Michael Dinner,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya",Comedy
The Crossing,https://en.wikipedia.org/wiki/The_Crossing_(2000_film),2000,Robert Harmon,"Jeff Daniels, Roger Rees, Sebastian Roché, Steven McCarthy",Historical Drama
Cruel Intentions 2,https://en.wikipedia.org/wiki/Cruel_Intentions_2,2000,Roger Kumble,"Robin Dunne, Sarah Thompson, Keri Lynn Pratt","Comedy, drama"
 Digimon: The Movie,https://en.wikipedia.org/wiki/Digimon:_The_Movie,2000,"Mamoru Hosoda, Minoru Hosoda","Lara Jill Miller, Joshua Seth, Bob Glouberman","Animation, Adventure"
Dinosaur,https://en.wikipedia.org/wiki/Dinosaur_(film),2000,"Eric Leighton, Ralph Zondag","D. B. Sweeney, Alfre Woodard, Ossie Davis",Animation
Down to You,https://en.wikipedia.org/wiki/Down_to_You,2000,Kris Isacsson,"Freddie Prinze, Jr., Julia Stiles",Comedy
Dr. T & the Women,https://en.wikipedia.org/wiki/Dr._T_%26_the_Women,2000,Robert Altman,"Richard Gere, Helen Hunt, Farrah Fawcett, Laura Dern, Shelley Long, Tara Reid, Kate Hudson",Romantic comedy
Dracula 2000,https://en.wikipedia.org/wiki/Dracula_2000,2000,Patrick Lussier,"Gerard Butler, Christopher Plummer, Jonny Lee Miller",Horror
Drowning Mona,https://en.wikipedia.org/wiki/Drowning_Mona,2000,Nick Gomez,"Bette Midler, Jamie Lee Curtis, Danny DeVito, Neve Campbell",Comedy
"Dude, Where's My Car?","https://en.wikipedia.org/wiki/Dude,_Where%27s_My_Car%3F",2000,Danny Leiner,"Ashton Kutcher, Seann William Scott",Comedy
Duets,https://en.wikipedia.org/wiki/Duets_(film),2000,Bruce Paltrow,"Maria Bello, Andre Braugher, Paul Giamatti, Huey Lewis, Gwyneth Paltrow, Angie Dickinson","Drama, Musical"
Dungeons & Dragons,https://en.wikipedia.org/wiki/Dungeons_%26_Dragons_(film),2000,Courtney Solomon,"Jeremy Irons, Thora Birch, Tom Baker, Marlon Wayans",fantasy
 The Emperor's New Groove,https://en.wikipedia.org/wiki/The_Emperor%27s_New_Groove,2000,Mark Dindal,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton",Animation
Erin Brockovich,https://en.wikipedia.org/wiki/Erin_Brockovich_(film),2000,Steven Soderbergh,"Julia Roberts, Albert Finney, Aaron Eckhart",Biography
An Everlasting Piece,https://en.wikipedia.org/wiki/An_Everlasting_Piece,2000,Barry Levinson,"Barry McEvoy, Brían F. O'Byrne, Anna Friel, Billy Connolly",Comedy
The Eyes of Tammy Faye,https://en.wikipedia.org/wiki/The_Eyes_of_Tammy_Faye,2000,"Fenton Bailey, Randy Barbato","Tammy Faye Bakker, RuPaul",Documentary
 The Family Man,https://en.wikipedia.org/wiki/The_Family_Man,2000,Brett Ratner,"Nicolas Cage, Téa Leoni, Don Cheadle",Drama
Fantasia 2000,https://en.wikipedia.org/wiki/Fantasia_2000,2000,see Credits,"James Levine, Chicago Symphony Orchestra",Animation
Final Destination,https://en.wikipedia.org/wiki/Final_Destination,2000,James Wong,"Devon Sawa, Ali Larter, Kerr Smith, Seann William Scott",Horror
Finding Forrester,https://en.wikipedia.org/wiki/Finding_Forrester,2000,Gus Van Sant,"Sean Connery, Rob Brown, Anna Paquin",Drama
The Flintstones in Viva Rock Vegas,https://en.wikipedia.org/wiki/The_Flintstones_in_Viva_Rock_Vegas,2000,Brian Levant,"Mark Addy, Stephen Baldwin, Kristen Johnston, Jane Krakowski, Alan Cumming, Joan Collins, Harvey Korman",Comedy
For Love or Country: The Arturo Sandoval Story,https://en.wikipedia.org/wiki/For_Love_or_Country:_The_Arturo_Sandoval_Story,2000,Joseph Sargent,"Andy García, Mía Maestro, Gloria Estefan",Biography
Frequency,https://en.wikipedia.org/wiki/Frequency_(film),2000,Gregory Hoblit,"Dennis Quaid, James Caviezel",Science fiction
 Get Carter,https://en.wikipedia.org/wiki/Get_Carter_(2000_film),2000,Stephen T. Kay,"Sylvester Stallone, Rhona Mitra, Michael Caine, Rachael Leigh Cook, Miranda Richardson, Mickey Rourke",Action
The Gift,https://en.wikipedia.org/wiki/The_Gift_(2000_film),2000,Sam Raimi,"Cate Blanchett, Giovanni Ribisi, Keanu Reeves, Katie Holmes, Greg Kinnear, Hilary Swank",Thriller
The Girl,https://en.wikipedia.org/wiki/The_Girl_(2000_film),2000,Sande Zeig,"Claire Keim, Agathe De La Boulaye",Romance
Girlfight,https://en.wikipedia.org/wiki/Girlfight,2000,Karyn Kusama,"Michelle Rodriguez, Paul Calderón",Drama
Gladiator,https://en.wikipedia.org/wiki/Gladiator_(2000_film),2000,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Richard Harris, Djimon Hounsou, Oliver Reed","Action, Drama, Epic,"
The Golden Bowl,https://en.wikipedia.org/wiki/The_Golden_Bowl_(film),2000,James Ivory,"Kate Beckinsale, James Fox, Anjelica Huston, Nick Nolte",Drama
Gone in 60 Seconds,https://en.wikipedia.org/wiki/Gone_in_60_Seconds_(2000_film),2000,Dominic Sena,"Nicolas Cage, Giovanni Ribisi, Angelina Jolie, Robert Duvall",Action
Gossip,https://en.wikipedia.org/wiki/Gossip_(2000_American_film),2000,Davis Guggenheim,"James Marsden, Lena Headey, Norman Reedus, Kate Hudson, Marisa Coughlan, Joshua Jackson",Drama
Gun Shy,https://en.wikipedia.org/wiki/Gun_Shy_(film),2000,Eric Blakeney,"Liam Neeson, Oliver Platt, Andrew Lauer",Action
 Hamlet,https://en.wikipedia.org/wiki/Hamlet_(2000_film),2000,Michael Almereyda,"Ethan Hawke, Diane Venora, Julia Stiles",Drama
Hanging Up,https://en.wikipedia.org/wiki/Hanging_Up,2000,Diane Keaton,"Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau",Comedy
Held Up,https://en.wikipedia.org/wiki/Held_Up,2000,Steve Rash,"Jamie Foxx, Nia Long",Comedy
Here on Earth,https://en.wikipedia.org/wiki/Here_on_Earth_(film),2000,Mark Piznarski,"Chris Klein, Leelee Sobieski, Josh Hartnett",Drama
High Fidelity,https://en.wikipedia.org/wiki/High_Fidelity_(film),2000,Stephen Frears,"John Cusack, Jack Black, Lisa Bonet, Joan Cusack, Iben Hjejle, Lili Taylor",Comedy
Highlander: Endgame,https://en.wikipedia.org/wiki/Highlander:_Endgame,2000,Douglas Aarniokoski,"Adrian Paul, Christopher Lambert",Science fiction
Hollow Man,https://en.wikipedia.org/wiki/Hollow_Man,2000,Paul Verhoeven,"Elisabeth Shue, Kevin Bacon, Josh Brolin","Science fiction, Horror"
The House of Mirth,https://en.wikipedia.org/wiki/The_House_of_Mirth_(2000_film),2000,Terence Davies,"Gillian Anderson, Laura Linney, Dan Aykroyd",Drama
How the Grinch Stole Christmas,https://en.wikipedia.org/wiki/Dr._Seuss%27_How_the_Grinch_Stole_Christmas_(2000_film),2000,Ron Howard,"Jim Carrey, Christine Baranski, Jeffrey Tambor, Molly Shannon, Taylor Momsen","Family, Fantasy"
How to Kill Your Neighbor's Dog,https://en.wikipedia.org/wiki/How_to_Kill_Your_Neighbor%27s_Dog,2000,Michael Kalesniko,"Kenneth Branagh, Robin Wright Penn",Comedy
 I Dreamed of Africa,https://en.wikipedia.org/wiki/I_Dreamed_of_Africa,2000,Hugh Hudson,"Kim Basinger, Eva Marie Saint",Drama
Icebreaker,https://en.wikipedia.org/wiki/Icebreaker_(film),2000,David Giancola,"Sean Astin, Stacy Keach, Bruce Campbell",Action
The In Crowd,https://en.wikipedia.org/wiki/The_In_Crowd_(2000_film),2000,Mary Lambert,"Susan Ward, Lori Heuring, Matthew Settle",Thriller
Into the Arms of Strangers: Stories of the Kindertransport,https://en.wikipedia.org/wiki/Into_the_Arms_of_Strangers:_Stories_of_the_Kindertransport,2000,Mark Jonathan Harris,the kindertransport,Documentary
Isn't She Great,https://en.wikipedia.org/wiki/Isn%27t_She_Great,2000,Andrew Bergman,"Bette Midler, Nathan Lane, John Cleese, Stockard Channing, David Hyde Pierce, Amanda Peet","Biography, Comedy"
Ivans Xtc,https://en.wikipedia.org/wiki/Ivans_Xtc,2000,Bernard Rose,"Danny Huston, Peter Weller",Drama
 Joe Gould's Secret,https://en.wikipedia.org/wiki/Joe_Gould%27s_Secret_(film),2000,Stanley Tucci,"Ian Holm, Stanley Tucci, Hope Davis",Drama
Just One Night,https://en.wikipedia.org/wiki/Just_One_Night_(film),2000,Alan Jacobs,"Timothy Hutton, Maria Grazia Cucinotta",Comedy
 Keeping the Faith,https://en.wikipedia.org/wiki/Keeping_the_Faith,2000,Edward Norton,"Ben Stiller, Jenna Elfman, Edward Norton",Comedy
The Kid,https://en.wikipedia.org/wiki/Disney%27s_The_Kid_(2000_film),2000,Jon Turteltaub,"Bruce Willis, Lily Tomlin, Jean Smart, Spencer Breslin",Family
 The Ladies Man,https://en.wikipedia.org/wiki/The_Ladies_Man,2000,Reginald Hudlin,"Tim Meadows, Billy Dee Williams, Will Ferrell",Comedy
The Last Producer,https://en.wikipedia.org/wiki/The_Last_Producer,2000,Burt Reynolds,"Burt Reynolds, Rod Steiger, Benjamin Bratt",Drama
Legacy,https://en.wikipedia.org/wiki/Legacy_(2000_film),2000,Tod Lending,life in Chicago ghettos,Documentary
The Legend of Bagger Vance,https://en.wikipedia.org/wiki/The_Legend_of_Bagger_Vance,2000,Robert Redford,"Matt Damon, Will Smith, Charlize Theron, Jack Lemmon",Drama
Little Nicky,https://en.wikipedia.org/wiki/Little_Nicky,2000,Steven Brill,"Adam Sandler, Patricia Arquette, Harvey Keitel",Comedy
The Little Vampire,https://en.wikipedia.org/wiki/The_Little_Vampire_(film),2000,Uli Edel,"Jonathan Lipnicki, Richard E. Grant, Rollo Weeks",Comedy
Long Night's Journey into Day,https://en.wikipedia.org/wiki/Long_Night%27s_Journey_into_Day,2000,"Deborah Hoffmann, Frances Reid",the Truth and Reconciliation Commission in post-Apartheid South Africa,Documentary
Loser,https://en.wikipedia.org/wiki/Loser_(film),2000,Amy Heckerling,"Jason Biggs, Mena Suvari, Greg Kinnear",Comedy
Lost Souls,https://en.wikipedia.org/wiki/Lost_Souls_(film),2000,Janusz Kamiński,"Winona Ryder, Ben Chaplin",Horror
Love & Basketball,https://en.wikipedia.org/wiki/Love_%26_Basketball,2000,Gina Prince-Bythewood,"Omar Epps, Sanaa Lathan, Dennis Haysbert",Drama
Lucky Numbers,https://en.wikipedia.org/wiki/Lucky_Numbers,2000,Nora Ephron,"John Travolta, Lisa Kudrow, Tim Roth, Michael Moore",Crime
 Maryam,https://en.wikipedia.org/wiki/Maryam_(film),2000,Ramin Serry,"Mariam Parris, Shaun Toub, Shohreh Aghdashloo",Drama
Maze,https://en.wikipedia.org/wiki/Maze_(film),2000,Rob Morrow,"Rob Morrow, Laura Linney, Craig Sheffer",Drama
"Me, Myself & Irene","https://en.wikipedia.org/wiki/Me,_Myself_%26_Irene",2000,Peter and Bobby Farrelly,"Jim Carrey, Renée Zellweger, Robert Forster, Chris Cooper",Comedy
Meet the Parents,https://en.wikipedia.org/wiki/Meet_the_Parents,2000,Jay Roach,"Ben Stiller, Robert De Niro, Blythe Danner, Teri Polo, Owen Wilson",Comedy
Memento,https://en.wikipedia.org/wiki/Memento_(film),2000,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",Thriller
Men of Honor,https://en.wikipedia.org/wiki/Men_of_Honor,2000,"George Tillman, Jr.","Robert De Niro, Cuba Gooding, Jr., Charlize Theron",Biography
Mercy Streets,https://en.wikipedia.org/wiki/Mercy_Streets,2000,John Gunn,"Eric Roberts, Cynthia Watros, Stacy Keach",Action
The Million Dollar Hotel,https://en.wikipedia.org/wiki/The_Million_Dollar_Hotel,2000,Wim Wenders,"Jeremy Davies, Milla Jovovich, Mel Gibson, Jimmy Smits",Drama
