Movie,URL,Year,Director,Cast,Genre,Movie_ID
Bring It On,https://en.wikipedia.org/wiki/Bring_It_On_(film),2000,Peyton Reed,"Kirsten Dunst, Eliza Dushku, Gabrielle Union, Jesse Bradford",Comedy,32
The Broken Hearts Club: A Romantic Comedy,https://en.wikipedia.org/wiki/The_Broken_Hearts_Club:_A_Romantic_Comedy,2000,Greg Berlanti,"Ben Weber, Timothy Olyphant, Zach Braff",Comedy,33
Brother,https://en.wikipedia.org/wiki/Brother_(2000_film),2000,Takeshi Kitano,"Takeshi Kitano, Omar Epps",Crime drama,34
 Cast Away,https://en.wikipedia.org/wiki/Cast_Away,2000,Robert Zemeckis,"Tom Hanks, Helen Hunt",Adventure,35
Cecil B. Demented,https://en.wikipedia.org/wiki/Cecil_B._Demented,2000,John Waters,"Melanie Griffith, Stephen Dorff, Alicia Witt, Adrian Grenier, Maggie Gyllenhaal",Comedy,36
The Cell,https://en.wikipedia.org/wiki/The_Cell,2000,Tarsem Singh,"Jennifer Lopez, Vince Vaughn, Vincent D'Onofrio",Science fiction,37
Center Stage,https://en.wikipedia.org/wiki/Center_Stage_(2000_film),2000,Nicholas Hytner,"Amanda Schull, Peter Gallagher, Ethan Stiefel",Musical,38
Charlie's Angels,https://en.wikipedia.org/wiki/Charlie%27s_Angels_(film),2000,McG,"Drew Barrymore, Cameron Diaz, Lucy Liu, Bill Murray, Sam Rockwell, Tim Curry, Crispin Glover",Action,39
Cherry Falls,https://en.wikipedia.org/wiki/Cherry_Falls,2000,Geoffrey Wright,"Brittany Murphy, Michael Biehn, Jesse Bradford",Thriller,40
Chinese Coffee,https://en.wikipedia.org/wiki/Chinese_Coffee,2000,Al Pacino,"Al Pacino, Jerry Orbach",Drama,41
Chocolat,https://en.wikipedia.org/wiki/Chocolat_(2000_film),2000,Lasse Hallström,"Juliette Binoche, Judi Dench, Alfred Molina, Lena Olin, Johnny Depp",Romance,42
Chuck & Buck,https://en.wikipedia.org/wiki/Chuck_%26_Buck,2000,Miguel Arteta,"Chris Weitz, Mike White, Maya Rudolph",Comedy,43
The Contender,https://en.wikipedia.org/wiki/The_Contender_(2000_film),2000,Rod Lurie,"Joan Allen, Jeff Bridges, Gary Oldman, Christian Slater, Sam Elliott, Kathryn Morris, Mike Binder",Drama,44
Coyote Ugly,https://en.wikipedia.org/wiki/Coyote_Ugly_(film),2000,David McNally,"Piper Perabo, Adam Garcia, Tyra Banks, John Goodman",Comedy,45
The Crew,https://en.wikipedia.org/wiki/The_Crew_(2000_film),2000,Michael Dinner,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya",Comedy,46
The Crossing,https://en.wikipedia.org/wiki/The_Crossing_(2000_film),2000,Robert Harmon,"Jeff Daniels, Roger Rees, Sebastian Roché, Steven McCarthy",Historical Drama,47
Cruel Intentions 2,https://en.wikipedia.org/wiki/Cruel_Intentions_2,2000,Roger Kumble,"Robin Dunne, Sarah Thompson, Keri Lynn Pratt","Comedy, drama",48
 Digimon: The Movie,https://en.wikipedia.org/wiki/Digimon:_The_Movie,2000,"Mamoru Hosoda, Minoru Hosoda","Lara Jill Miller, Joshua Seth, Bob Glouberman","Animation, Adventure",49
Dinosaur,https://en.wikipedia.org/wiki/Dinosaur_(film),2000,"Eric Leighton, Ralph Zondag","D. B. Sweeney, Alfre Woodard, Ossie Davis",Animation,50
Down to You,https://en.wikipedia.org/wiki/Down_to_You,2000,Kris Isacsson,"Freddie Prinze, Jr., Julia Stiles",Comedy,51
Dr. T & the Women,https://en.wikipedia.org/wiki/Dr._T_%26_the_Women,2000,Robert Altman,"Richard Gere, Helen Hunt, Farrah Fawcett, Laura Dern, Shelley Long, Tara Reid, Kate Hudson",Romantic comedy,52
Dracula 2000,https://en.wikipedia.org/wiki/Dracula_2000,2000,Patrick Lussier,"Gerard Butler, Christopher Plummer, Jonny Lee Miller",Horror,53
Drowning Mona,https://en.wikipedia.org/wiki/Drowning_Mona,2000,Nick Gomez,"Bette Midler, Jamie Lee Curtis, Danny DeVito, Neve Campbell",Comedy,54
"Dude, Where's My Car?","https://en.wikipedia.org/wiki/Dude,_Where%27s_My_Car%3F",2000,Danny Leiner,"Ashton Kutcher, Seann William Scott",Comedy,55
Duets,https://en.wikipedia.org/wiki/Duets_(film),2000,Bruce Paltrow,"Maria Bello, Andre Braugher, Paul Giamatti, Huey Lewis, Gwyneth Paltrow, Angie Dickinson","Drama, Musical",56
Dungeons & Dragons,https://en.wikipedia.org/wiki/Dungeons_%26_Dragons_(film),2000,Courtney Solomon,"Jeremy Irons, Thora Birch, Tom Baker, Marlon Wayans",fantasy,57
 The Emperor's New Groove,https://en.wikipedia.org/wiki/The_Emperor%27s_New_Groove,2000,Mark Dindal,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton",Animation,58
Erin Brockovich,https://en.wikipedia.org/wiki/Erin_Brockovich_(film),2000,Steven Soderbergh,"Julia Roberts, Albert Finney, Aaron Eckhart",Biography,59
An Everlasting Piece,https://en.wikipedia.org/wiki/An_Everlasting_Piece,2000,Barry Levinson,"Barry McEvoy, Brían F. O'Byrne, Anna Friel, Billy Connolly",Comedy,60
The Eyes of Tammy Faye,https://en.wikipedia.org/wiki/The_Eyes_of_Tammy_Faye,2000,"Fenton Bailey, Randy Barbato","Tammy Faye Bakker, RuPaul",Documentary,61
 The Family Man,https://en.wikipedia.org/wiki/The_Family_Man,2000,Brett Ratner,"Nicolas Cage, Téa Leoni, Don Cheadle",Drama,62
Fantasia 2000,https://en.wikipedia.org/wiki/Fantasia_2000,2000,see Credits,"James Levine, Chicago Symphony Orchestra",Animation,63
Final Destination,https://en.wikipedia.org/wiki/Final_Destination,2000,James Wong,"Devon Sawa, Ali Larter, Kerr Smith, Seann William Scott",Horror,64
Finding Forrester,https://en.wikipedia.org/wiki/Finding_Forrester,2000,Gus Van Sant,"Sean Connery, Rob Brown, Anna Paquin",Drama,65
The Flintstones in Viva Rock Vegas,https://en.wikipedia.org/wiki/The_Flintstones_in_Viva_Rock_Vegas,2000,Brian Levant,"Mark Addy, Stephen Baldwin, Kristen Johnston, Jane Krakowski, Alan Cumming, Joan Collins, Harvey Korman",Comedy,66
For Love or Country: The Arturo Sandoval Story,https://en.wikipedia.org/wiki/For_Love_or_Country:_The_Arturo_Sandoval_Story,2000,Joseph Sargent,"Andy García, Mía Maestro, Gloria Estefan",Biography,67
Frequency,https://en.wikipedia.org/wiki/Frequency_(film),2000,Gregory Hoblit,"Dennis Quaid, James Caviezel",Science fiction,68
 Get Carter,https://en.wikipedia.org/wiki/Get_Carter_(2000_film),2000,Stephen T. Kay,"Sylvester Stallone, Rhona Mitra, Michael Caine, Rachael Leigh Cook, Miranda Richardson, Mickey Rourke",Action,69
The Gift,https://en.wikipedia.org/wiki/The_Gift_(2000_film),2000,Sam Raimi,"Cate Blanchett, Giovanni Ribisi, Keanu Reeves, Katie Holmes, Greg Kinnear, Hilary Swank",Thriller,70
The Girl,https://en.wikipedia.org/wiki/The_Girl_(2000_film),2000,Sande Zeig,"Claire Keim, Agathe De La Boulaye",Romance,71
Girlfight,https://en.wikipedia.org/wiki/Girlfight,2000,Karyn Kusama,"Michelle Rodriguez, Paul Calderón",Drama,72
Gladiator,https://en.wikipedia.org/wiki/Gladiator_(2000_film),2000,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Richard Harris, Djimon Hounsou, Oliver Reed","Action, Drama, Epic,",73
The Golden Bowl,https://en.wikipedia.org/wiki/The_Golden_Bowl_(film),2000,James Ivory,"Kate Beckinsale, James Fox, Anjelica Huston, Nick Nolte",Drama,74
Gone in 60 Seconds,https://en.wikipedia.org/wiki/Gone_in_60_Seconds_(2000_film),2000,Dominic Sena,"Nicolas Cage, Giovanni Ribisi, Angelina Jolie, Robert Duvall",Action,75
Gossip,https://en.wikipedia.org/wiki/Gossip_(2000_American_film),2000,Davis Guggenheim,"James Marsden, Lena Headey, Norman Reedus, Kate Hudson, Marisa Coughlan, Joshua Jackson",Drama,76
Gun Shy,https://en.wikipedia.org/wiki/Gun_Shy_(film),2000,Eric Blakeney,"Liam Neeson, Oliver Platt, Andrew Lauer",Action,77
 Hamlet,https://en.wikipedia.org/wiki/Hamlet_(2000_film),2000,Michael Almereyda,"Ethan Hawke, Diane Venora, Julia Stiles",Drama,78
Hanging Up,https://en.wikipedia.org/wiki/Hanging_Up,2000,Diane Keaton,"Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau",Comedy,79
Held Up,https://en.wikipedia.org/wiki/Held_Up,2000,Steve Rash,"Jamie Foxx, Nia Long",Comedy,80
Here on Earth,https://en.wikipedia.org/wiki/Here_on_Earth_(film),2000,Mark Piznarski,"Chris Klein, Leelee Sobieski, Josh Hartnett",Drama,81
High Fidelity,https://en.wikipedia.org/wiki/High_Fidelity_(film),2000,Stephen Frears,"John Cusack, Jack Black, Lisa Bonet, Joan Cusack, Iben Hjejle, Lili Taylor",Comedy,82
Highlander: Endgame,https://en.wikipedia.org/wiki/Highlander:_Endgame,2000,Douglas Aarniokoski,"Adrian Paul, Christopher Lambert",Science fiction,83
Hollow Man,https://en.wikipedia.org/wiki/Hollow_Man,2000,Paul Verhoeven,"Elisabeth Shue, Kevin Bacon, Josh Brolin","Science fiction, Horror",84
The House of Mirth,https://en.wikipedia.org/wiki/The_House_of_Mirth_(2000_film),2000,Terence Davies,"Gillian Anderson, Laura Linney, Dan Aykroyd",Drama,85
How the Grinch Stole Christmas,https://en.wikipedia.org/wiki/Dr._Seuss%27_How_the_Grinch_Stole_Christmas_(2000_film),2000,Ron Howard,"Jim Carrey, Christine Baranski, Jeffrey Tambor, Molly Shannon, Taylor Momsen","Family, Fantasy",86
How to Kill Your Neighbor's Dog,https://en.wikipedia.org/wiki/How_to_Kill_Your_Neighbor%27s_Dog,2000,Michael Kalesniko,"Kenneth Branagh, Robin Wright Penn",Comedy,87
 I Dreamed of Africa,https://en.wikipedia.org/wiki/I_Dreamed_of_Africa,2000,Hugh Hudson,"Kim Basinger, Eva Marie Saint",Drama,88
Icebreaker,https://en.wikipedia.org/wiki/Icebreaker_(film),2000,David Giancola,"Sean Astin, Stacy Keach, Bruce Campbell",Action,89
The In Crowd,https://en.wikipedia.org/wiki/The_In_Crowd_(2000_film),2000,Mary Lambert,"Susan Ward, Lori Heuring, Matthew Settle",Thriller,90
Into the Arms of Strangers: Stories of the Kindertransport,https://en.wikipedia.org/wiki/Into_the_Arms_of_Strangers:_Stories_of_the_Kindertransport,2000,Mark Jonathan Harris,the kindertransport,Documentary,91
Isn't She Great,https://en.wikipedia.org/wiki/Isn%27t_She_Great,2000,Andrew Bergman,"Bette Midler, Nathan Lane, John Cleese, Stockard Channing, David Hyde Pierce, Amanda Peet","Biography, Comedy",92
Ivans Xtc,https://en.wikipedia.org/wiki/Ivans_Xtc,2000,Bernard Rose,"Danny Huston, Peter Weller",Drama,93
 Joe Gould's Secret,https://en.wikipedia.org/wiki/Joe_Gould%27s_Secret_(film),2000,Stanley Tucci,"Ian Holm, Stanley Tucci, Hope Davis",Drama,94
Just One Night,https://en.wikipedia.org/wiki/Just_One_Night_(film),2000,Alan Jacobs,"Timothy Hutton, Maria Grazia Cucinotta",Comedy,95
 Keeping the Faith,https://en.wikipedia.org/wiki/Keeping_the_Faith,2000,Edward Norton,"Ben Stiller, Jenna Elfman, Edward Norton",Comedy,96
The Kid,https://en.wikipedia.org/wiki/Disney%27s_The_Kid_(2000_film),2000,Jon Turteltaub,"Bruce Willis, Lily Tomlin, Jean Smart, Spencer Breslin",Family,97
 The Ladies Man,https://en.wikipedia.org/wiki/The_Ladies_Man,2000,Reginald Hudlin,"Tim Meadows, Billy Dee Williams, Will Ferrell",Comedy,98
The Last Producer,https://en.wikipedia.org/wiki/The_Last_Producer,2000,Burt Reynolds,"Burt Reynolds, Rod Steiger, Benjamin Bratt",Drama,99
Legacy,https://en.wikipedia.org/wiki/Legacy_(2000_film),2000,Tod Lending,life in Chicago ghettos,Documentary,100
The Legend of Bagger Vance,https://en.wikipedia.org/wiki/The_Legend_of_Bagger_Vance,2000,Robert Redford,"Matt Damon, Will Smith, Charlize Theron, Jack Lemmon",Drama,101
Little Nicky,https://en.wikipedia.org/wiki/Little_Nicky,2000,Steven Brill,"Adam Sandler, Patricia Arquette, Harvey Keitel",Comedy,102
The Little Vampire,https://en.wikipedia.org/wiki/The_Little_Vampire_(film),2000,Uli Edel,"Jonathan Lipnicki, Richard E. Grant, Rollo Weeks",Comedy,103
Long Night's Journey into Day,https://en.wikipedia.org/wiki/Long_Night%27s_Journey_into_Day,2000,"Deborah Hoffmann, Frances Reid",the Truth and Reconciliation Commission in post-Apartheid South Africa,Documentary,104
Loser,https://en.wikipedia.org/wiki/Loser_(film),2000,Amy Heckerling,"Jason Biggs, Mena Suvari, Greg Kinnear",Comedy,105
Lost Souls,https://en.wikipedia.org/wiki/Lost_Souls_(film),2000,Janusz Kamiński,"Winona Ryder, Ben Chaplin",Horror,106
Love & Basketball,https://en.wikipedia.org/wiki/Love_%26_Basketball,2000,Gina Prince-Bythewood,"Omar Epps, Sanaa Lathan, Dennis Haysbert",Drama,107
Lucky Numbers,https://en.wikipedia.org/wiki/Lucky_Numbers,2000,Nora Ephron,"John Travolta, Lisa Kudrow, Tim Roth, Michael Moore",Crime,108
 Maryam,https://en.wikipedia.org/wiki/Maryam_(film),2000,Ramin Serry,"Mariam Parris, Shaun Toub, Shohreh Aghdashloo",Drama,109
Maze,https://en.wikipedia.org/wiki/Maze_(film),2000,Rob Morrow,"Rob Morrow, Laura Linney, Craig Sheffer",Drama,110
"Me, Myself & Irene","https://en.wikipedia.org/wiki/Me,_Myself_%26_Irene",2000,Peter and Bobby Farrelly,"Jim Carrey, Renée Zellweger, Robert Forster, Chris Cooper",Comedy,111
Meet the Parents,https://en.wikipedia.org/wiki/Meet_the_Parents,2000,Jay Roach,"Ben Stiller, Robert De Niro, Blythe Danner, Teri Polo, Owen Wilson",Comedy,112
Memento,https://en.wikipedia.org/wiki/Memento_(film),2000,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",Thriller,113
Men of Honor,https://en.wikipedia.org/wiki/Men_of_Honor,2000,"George Tillman, Jr.","Robert De Niro, Cuba Gooding, Jr., Charlize Theron",Biography,114
Mercy Streets,https://en.wikipedia.org/wiki/Mercy_Streets,2000,John Gunn,"Eric Roberts, Cynthia Watros, Stacy Keach",Action,115
The Million Dollar Hotel,https://en.wikipedia.org/wiki/The_Million_Dollar_Hotel,2000,Wim Wenders,"Jeremy Davies, Milla Jovovich, Mel Gibson, Jimmy Smits",Drama,116
Miss Congeniality,https://en.wikipedia.org/wiki/Miss_Congeniality_(film),2000,Donald Petrie,"Sandra Bullock, Benjamin Bratt, Michael Caine, William Shatner, Candice Bergen",Comedy,117
Mission to Mars,https://en.wikipedia.org/wiki/Mission_to_Mars,2000,Brian De Palma,"Gary Sinise, Tim Robbins, Don Cheadle, Connie Nielsen, Jerry O'Connell, Kim Delaney",Science fiction,118
Mission: Impossible II,https://en.wikipedia.org/wiki/Mission:_Impossible_II,2000,John Woo,"Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Richard Roxburgh, Brendan Gleeson",Action,119
My Dog Skip,https://en.wikipedia.org/wiki/My_Dog_Skip_(film),2000,Jay Russell,"Frankie Muniz, Diane Lane, Luke Wilson, Kevin Bacon",Family,120
My 5 Wives,https://en.wikipedia.org/wiki/My_5_Wives,2000,Sidney J. Furie,"Rodney Dangerfield, Jerry Stiller, Molly Shannon",Comedy,121
 The Next Best Thing,https://en.wikipedia.org/wiki/The_Next_Best_Thing,2000,John Schlesinger,"Rupert Everett, Madonna, Benjamin Bratt",Comedy,122
Next Friday,https://en.wikipedia.org/wiki/Next_Friday,2000,Steve Carr,"Ice Cube, Mike Epps, Don Curry",Comedy,123
Nothin' 2 Lose,https://en.wikipedia.org/wiki/Nothin%27_2_Lose,2000,Barry Bowles,Brian Hooks,Comedy,124
Nutty Professor II: The Klumps,https://en.wikipedia.org/wiki/Nutty_Professor_II:_The_Klumps,2000,Peter Segal,"Eddie Murphy, Janet Jackson, Larry Miller, Wanda Sykes",Comedy,125
Nurse Betty,https://en.wikipedia.org/wiki/Nurse_Betty,2000,Neil LaBute,"Morgan Freeman, Renée Zellweger, Chris Rock, Greg Kinnear",Comedy,126
" O Brother, Where Art Thou?","https://en.wikipedia.org/wiki/O_Brother,_Where_Art_Thou%3F",2000,Joel and Ethan Coen,"George Clooney, Tim Blake Nelson, John Turturro, Holly Hunter, John Goodman, Charles Durning",Comedy,127
The Opportunists,https://en.wikipedia.org/wiki/The_Opportunists,2000,Myles Connell,"Christopher Walken, Vera Farmiga, Cyndi Lauper",Crime drama,128
The Original Kings of Comedy,https://en.wikipedia.org/wiki/The_Original_Kings_of_Comedy,2000,Spike Lee,"stand-up comedy of Steve Harvey, D. L. Hughley, Cedric the Entertainer, Bernie Mac",Documentary,129
Our Song,https://en.wikipedia.org/wiki/Our_Song_(film),2000,Jim McKay,"Kerry Washington, Melissa Martinez",Drama,130
 Panic,https://en.wikipedia.org/wiki/Panic_(2000_film),2000,Henry Bromell,"William H. Macy, Neve Campbell, Donald Sutherland",Crime drama,131
Passion of Mind,https://en.wikipedia.org/wiki/Passion_of_Mind,2000,Alain Berliner,"Demi Moore, Stellan Skarsgård",Drama,132
The Patriot,https://en.wikipedia.org/wiki/The_Patriot_(2000_film),2000,Roland Emmerich,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs, Chris Cooper, Tom Wilkinson",War,133
Pay It Forward,https://en.wikipedia.org/wiki/Pay_It_Forward_(film),2000,Mimi Leder,"Haley Joel Osment, Helen Hunt, Kevin Spacey, James Caviezel, Angie Dickinson, Jon Bon Jovi",Drama,134
The Perfect Storm,https://en.wikipedia.org/wiki/The_Perfect_Storm_(film),2000,Wolfgang Petersen,"George Clooney, Mark Wahlberg, Diane Lane, Mary Elizabeth Mastrantonio, John C. Reilly, Karen Allen",Adventure,135
Picking Up the Pieces,https://en.wikipedia.org/wiki/Picking_Up_the_Pieces_(film),2000,Alfonso Aráu,"Woody Allen, Sharon Stone, David Schwimmer",Comedy,136
Pitch Black,https://en.wikipedia.org/wiki/Pitch_Black_(film),2000,David Twohy,"Vin Diesel, Keith David, Cole Hauser",Science fiction,137
Pollock,https://en.wikipedia.org/wiki/Pollock_(film),2000,Ed Harris,"Ed Harris, Marcia Gay Harden, Jennifer Connelly",Biography,138
Poor White Trash,https://en.wikipedia.org/wiki/Poor_White_Trash_(film),2000,Michael Addis,"Sean Young, William Devane",Comedy,139
Price of Glory,https://en.wikipedia.org/wiki/Price_of_Glory,2000,Carlos Ávila,Jimmy Smits,Drama,140
Prince of Central Park,https://en.wikipedia.org/wiki/Prince_of_Central_Park,2000,John Leekley,"Kathleen Turner, Danny Aiello, Harvey Keitel",Family,141
Proof of Life,https://en.wikipedia.org/wiki/Proof_of_Life,2000,Taylor Hackford,"Russell Crowe, Meg Ryan, David Morse",Drama,142
Psycho Beach Party,https://en.wikipedia.org/wiki/Psycho_Beach_Party,2000,Robert Lee King,"Thomas Gibson, Lauren Ambrose, Charles Busch",Comedy,143
 Quills,https://en.wikipedia.org/wiki/Quills,2000,Philip Kaufman,"Geoffrey Rush, Kate Winslet, Joaquin Phoenix, Michael Caine","Drama, Biography",144
 Ready to Rumble,https://en.wikipedia.org/wiki/Ready_to_Rumble,2000,Brian Robbins,"David Arquette, Oliver Platt, Scott Caan",Comedy,145
Red Planet,https://en.wikipedia.org/wiki/Red_Planet_(film),2000,Antony Hoffman,"Val Kilmer, Carrie-Anne Moss, Tom Sizemore",Science fiction,146
Reindeer Games,https://en.wikipedia.org/wiki/Reindeer_Games,2000,John Frankenheimer,"Ben Affleck, Gary Sinise, Charlize Theron",Crime drama,147
Remember the Titans,https://en.wikipedia.org/wiki/Remember_the_Titans,2000,Boaz Yakin,"Denzel Washington, Will Patton",Drama,148
The Replacements,https://en.wikipedia.org/wiki/The_Replacements_(film),2000,Howard Deutch,"Keanu Reeves, Gene Hackman, Brooke Langton",Comedy,149
Requiem for a Dream,https://en.wikipedia.org/wiki/Requiem_for_a_Dream,2000,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",Drama,150
Return to Me,https://en.wikipedia.org/wiki/Return_to_Me,2000,Bonnie Hunt,"Minnie Driver, David Duchovny, Carroll O'Connor",Romance,151
The Road to El Dorado,https://en.wikipedia.org/wiki/The_Road_to_El_Dorado,2000,"Bibo Bergeron, Will Finn","Kevin Kline, Kenneth Branagh, Rosie Perez",Animation,152
Road Trip,https://en.wikipedia.org/wiki/Road_Trip_(film),2000,Todd Phillips,"Breckin Meyer, Seann William Scott, Tom Green, DJ Qualls, Amy Smart",Comedy,153
Romeo Must Die,https://en.wikipedia.org/wiki/Romeo_Must_Die,2000,Andrzej Bartkowiak,"Jet Li, Aaliyah, Delroy Lindo",Action,154
Rugrats in Paris: The Movie,https://en.wikipedia.org/wiki/Rugrats_in_Paris:_The_Movie,2000,"Stig Berggvist, Paul Demeyer","Elizabeth Daily, Tara Strong, Cheryl Chase",Animation,155
Rules of Engagement,https://en.wikipedia.org/wiki/Rules_of_Engagement_(film),2000,William Friedkin,"Tommy Lee Jones, Samuel L. Jackson, Guy Pearce",War,156
 The Scarecrow,https://en.wikipedia.org/wiki/The_Scarecrow_(2000_film),2000,Richard Rich,"Shawn Hoffman, Belinda Montgomery, Ray Porter, Corey Feldman","Animation, Fantasy",157
Scary Movie,https://en.wikipedia.org/wiki/Scary_Movie,2000,Keenen Ivory Wayans,"Marlon Wayans, Anna Faris, Carmen Electra",Comedy,158
Scottsboro: An American Tragedy,https://en.wikipedia.org/wiki/Scottsboro:_An_American_Tragedy,2000,"Daniel Anker, Barak Goodman",the Scottsboro Boys case,Documentary,159
Scream 3,https://en.wikipedia.org/wiki/Scream_3,2000,Wes Craven,"David Arquette, Neve Campbell, Courteney Cox, Patrick Dempsey, Scott Foley, Emily Mortimer",Horror,160
Screwed,https://en.wikipedia.org/wiki/Screwed_(2000_film),2000,Scott Alexander and Larry Karaszewski,"Norm Macdonald, Dave Chappelle, Danny DeVito",Comedy,161
Seventeen Again,https://en.wikipedia.org/wiki/Seventeen_Again,2000,Jeffrey W. Byrd,"Tamera Mowry, Tia Mowry, Maia Campbell",Comedy,162
Sexy Beast,https://en.wikipedia.org/wiki/Sexy_Beast,2000,Jonathan Glazer,"Ray Winstone, Ben Kingsley, Ian McShane, Amanda Redman, James Fox",Crime drama,163
